2025-01-21 10:38:51,813 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 711, 'y': 51}, 'frame': 60} 
2025-01-21 10:38:52,959 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 88, 'y': 292}, 'frame': 120} 
2025-01-21 10:38:54,097 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 88, 'y': 292}, 'frame': 180} 
2025-01-21 10:38:55,223 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 186, 'y': 574}, 'frame': 240} 
2025-01-21 10:38:56,367 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 720, 'y': 527}, 'frame': 300} 
2025-01-21 10:38:57,521 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 720, 'y': 527}, 'frame': 360} 
2025-01-21 10:38:58,647 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 454, 'y': 440}, 'frame': 420} 
2025-01-21 10:38:59,816 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 454, 'y': 440}, 'frame': 480} 
2025-01-21 10:39:00,983 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 95, 'y': 459}, 'frame': 540} 
2025-01-21 10:39:02,116 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 411, 'y': 288}, 'frame': 600} 
2025-01-21 10:39:03,268 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 411, 'y': 288}, 'frame': 660} 
2025-01-21 10:39:04,394 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 85, 'y': 322}, 'frame': 720} 
2025-01-21 10:39:05,533 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 85, 'y': 322}, 'frame': 780} 
2025-01-21 10:39:06,673 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 30, 'y': 569}, 'frame': 840} 
2025-01-21 10:39:07,825 - DEBUG - Game state: {'ball': {'1': {'radius': 15, 'color': (255, 0, 0), 'x': 155.0, 'y': 276.0, 'speed': 0, 'direction': 0, 'score': 0}, '2': {'radius': 15, 'color': (0, 255, 0), 'x': 681.0, 'y': 257.0, 'speed': 0, 'direction': 0, 'score': 0}}, 'foods': {'radius': 5, 'x': 377, 'y': 534}, 'frame': 900} 
